name;data;tipo;categoria;nome_publicação;subtítulo_publicação;edicao;data_publicacao;descricao;imagem;url
Rússia;01/03/2021;Petróleo e Derivados;Boletim de Óleo e Gás;Experiências internacionais na regulação da indústria de óleo & gás;Nota Técnica;mar/21;Publicação: Março/2021;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-582/NT-EPE-DPG-SDB-2021-02_Regula%C3%A7%C3%A3o%20de%20%C3%93leo%20e%20G%C3%A1s.pdf#search=livro%20marco%20regulat%C3%B3rio%20petr%C3%B3leo
Irã;01/03/2021;Petróleo e Derivados;Boletim de Óleo e Gás;Experiências internacionais na regulação da indústria de óleo & gás;Nota Técnica;mar/21;Publicação: Março/2021;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-582/NT-EPE-DPG-SDB-2021-02_Regula%C3%A7%C3%A3o%20de%20%C3%93leo%20e%20G%C3%A1s.pdf#search=livro%20marco%20regulat%C3%B3rio%20petr%C3%B3leo
Iraque;01/03/2021;Petróleo e Derivados;Boletim de Óleo e Gás;Experiências internacionais na regulação da indústria de óleo & gás;Nota Técnica;mar/21;Publicação: Março/2021;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-582/NT-EPE-DPG-SDB-2021-02_Regula%C3%A7%C3%A3o%20de%20%C3%93leo%20e%20G%C3%A1s.pdf#search=livro%20marco%20regulat%C3%B3rio%20petr%C3%B3leo
Nigéria;01/03/2021;Petróleo e Derivados;Boletim de Óleo e Gás;Experiências internacionais na regulação da indústria de óleo & gás;Nota Técnica;mar/21;Publicação: Março/2021;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-582/NT-EPE-DPG-SDB-2021-02_Regula%C3%A7%C3%A3o%20de%20%C3%93leo%20e%20G%C3%A1s.pdf#search=livro%20marco%20regulat%C3%B3rio%20petr%C3%B3leo
Angola;01/03/2021;Petróleo e Derivados;Boletim de Óleo e Gás;Experiências internacionais na regulação da indústria de óleo & gás;Nota Técnica;mar/21;Publicação: Março/2021;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-582/NT-EPE-DPG-SDB-2021-02_Regula%C3%A7%C3%A3o%20de%20%C3%93leo%20e%20G%C3%A1s.pdf#search=livro%20marco%20regulat%C3%B3rio%20petr%C3%B3leo
República do Congo;01/03/2021;Petróleo e Derivados;Boletim de Óleo e Gás;Experiências internacionais na regulação da indústria de óleo & gás;Nota Técnica;mar/21;Publicação: Março/2021;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-582/NT-EPE-DPG-SDB-2021-02_Regula%C3%A7%C3%A3o%20de%20%C3%93leo%20e%20G%C3%A1s.pdf#search=livro%20marco%20regulat%C3%B3rio%20petr%C3%B3leo
Guiné Equatorial;01/03/2021;Petróleo e Derivados;Boletim de Óleo e Gás;Experiências internacionais na regulação da indústria de óleo & gás;Nota Técnica;mar/21;Publicação: Março/2021;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-582/NT-EPE-DPG-SDB-2021-02_Regula%C3%A7%C3%A3o%20de%20%C3%93leo%20e%20G%C3%A1s.pdf#search=livro%20marco%20regulat%C3%B3rio%20petr%C3%B3leo
Venezuela;01/03/2021;Petróleo e Derivados;Boletim de Óleo e Gás;Experiências internacionais na regulação da indústria de óleo & gás;Nota Técnica;mar/21;Publicação: Março/2021;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-582/NT-EPE-DPG-SDB-2021-02_Regula%C3%A7%C3%A3o%20de%20%C3%93leo%20e%20G%C3%A1s.pdf#search=livro%20marco%20regulat%C3%B3rio%20petr%C3%B3leo
Argentina;01/03/2021;Petróleo e Derivados;Boletim de Óleo e Gás;Experiências internacionais na regulação da indústria de óleo & gás;Nota Técnica;mar/21;Publicação: Março/2021;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-582/NT-EPE-DPG-SDB-2021-02_Regula%C3%A7%C3%A3o%20de%20%C3%93leo%20e%20G%C3%A1s.pdf#search=livro%20marco%20regulat%C3%B3rio%20petr%C3%B3leo
Bolívia;01/03/2021;Petróleo e Derivados;Boletim de Óleo e Gás;Experiências internacionais na regulação da indústria de óleo & gás;Nota Técnica;mar/21;Publicação: Março/2021;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-582/NT-EPE-DPG-SDB-2021-02_Regula%C3%A7%C3%A3o%20de%20%C3%93leo%20e%20G%C3%A1s.pdf#search=livro%20marco%20regulat%C3%B3rio%20petr%C3%B3leo
